Site identifier,Site,Longitude,Latitude,Lab sample identifier,Material,AMS date on cereal?,14C age BP,1-sigma uncertainty,Age range (BC/AD),Age range lower (BP),Age range upper (BP),Reference,Crops Present,Wheat,Barley,Foxtail millet,Broomcorn millet,Millet (unidentified),Rice,Rice (wild),Echnicloa,Paspalum,Sorghum,Oat,Rye,Buckwheat,Bracharia,Eleusine coracana,Pennesitum
537,Xinglongwa,120.65,42.38,ZK-3073,Charcoal,FALSE,2442,66,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.2001","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-3075,Charcoal,FALSE,4987,54,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.2001","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-3074,Charcoal,FALSE,5271,53,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.2001","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-3070,Charcoal,FALSE,6504,48,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.2001","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglonggou,120.65,42.38,ZK-3156,Charcoal,FALSE,6665,46,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.2004","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglonggou,120.65,42.38,ZK-3157,Charcoal,FALSE,6738,46,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.2004","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglonggou,120.65,42.38,ZK-3155,Charcoal,FALSE,4651,43,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.2004","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
538,Xinjia,102.84,35.88,BA110887,Millet,TRUE,3690,30,,,,Dong et al.2013a,"Foxtail, broomcorn millet",,,TRUE,TRUE,,,,,,,,,,,,
538,Xinjia,102.84,35.88,BA110887,Charred millet seeds,TRUE,3690,30,,,,Dong et al.2014,"Foxtail, broomcorn millet",,,TRUE,TRUE,,,,,,,,,,,,
538,Xinjia,102.84,35.88,BA110887 ,Foxtail Millet,TRUE,3690,30,,,,Chen et al. 2015,"Foxtail, broomcorn millet",,,TRUE,TRUE,,,,,,,,,,,,
539,Xintala,86.93,42.22,OZK663,Wheat seed,TRUE,3430,50,,,,Dodson et al.2013,Wheat,TRUE,,,,,,,,,,,,,,,
539,Xintala,86.93,42.22,OZK662,Wheat seed,TRUE,3435,50,,,,Dodson et al.2013,Wheat,TRUE,,,,,,,,,,,,,,,
539,Xintala,86.93,42.22,OZL437,Wheat seed,TRUE,3515,50,,,,Zhao et al.2012,Wheat,TRUE,,,,,,,,,,,,,,,
539,Xintala,86.93,42.22,OZM451,Wheat seed,TRUE,3460,35,,,,Zhao et al.2012,Wheat,TRUE,,,,,,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00002,Bone,FALSE,3700,65,,,,C.Zhao 2005,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00013,Bone,FALSE,3430,55,,,,C.Zhao 2027,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00016,Bone,FALSE,3410,50,,,,C.Zhao 2030,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00017,Bone,FALSE,3395,40,,,,C.Zhao 2023,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,VERA-1436,Bone,FALSE,3380,35,,,,C.Zhao 2029,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00013-1,Bone,FALSE,3390,35,,,,C.Zhao 2028,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,VERA-1438,Bone,FALSE,3390,35,,,,C.Zhao 2031,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00009,Bone,FALSE,3415,35,,,,C.Zhao 2025,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,VERA-1434,Bone,FALSE,3425,35,,,,C.Zhao 2026,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00005,Bone,FALSE,3465,35,,,,C.Zhao 2017,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00006-1,Bone,FALSE,3470,35,,,,C.Zhao 2014,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00018-1,Bone,FALSE,3470,35,,,,C.Zhao 2022,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00012,Bone,FALSE,3480,35,,,,C.Zhao 2015,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00001-1,Bone,FALSE,3490,35,,,,C.Zhao 2012,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,VERA-1431,Bone,FALSE,3490,35,,,,C.Zhao 2016,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
